Nivel 1;[(958,401)_(1006,354)];;game6/assets/images/mapa1.png;210,378
Nivel 2;[(577,179)_(624,132)-(958,401)_(1006,354)];;game6/assets/images/mapa2.png;210,378
Nivel 3;[(194,400)_(241,354)-(958,401)_(1006,354)];[(805,290)_(846,243)];game6/assets/images/mapa3.png;600,147
Nivel 4;[(372,511)_(419,465)-(497,206)_(544,159)];[(577,157)_(624,132)-(194,400)_(239,354)-(967,401)_(1006,355)];game6/assets/images/mapa4.png;823,266
Nivel 5;[(447,296)_(495,249)-(905,607)_(952,560)];[(193,401)_(234,353)-(371,511)_(420,474)-(969,402)_(1006,354)-(806,290)_(846,243)-(756,207)_(802,158)-(577,156)_(625,132)];game6/assets/images/mapa5.png;929,202
Nivel 6;[(482,512)_(530,464)-(958,401)_(1006,354)];[(193,401)_(236,354)-(448,296)_(495,256)-(576,158)_(625,132)-(759,207)_(802,159)-(799,290)_(846,243)-(904,230)_(953,183)-(905,607)_(952,560)];game6/assets/images/mapa6.png;648,495
Nivel 7;[(268,311)_(316,264)-(754,207)_(802,159)];[(194,219)_(241,178)-(492,513)_(531,465)-(576,156)_(625,132)-(625,511)_(674,466)-(792,291)_(847,242)-(793,467)_(840,419)-(904,237)_(953,184)-(958,402)_(1006,354)-(961,608)_(1006,560)];game6/assets/images/mapa7.png;470,276
Nivel 8;[(625,513)_(673,465)-(959,607)_(1006,560)];[(193,232)_(242,178)-(270,313)_(315,264)-(447,297)_(496,249)-(467,512)_(530,465)-(577,156)_(625,133)-(750,207)_(803,158)-(776,291)_(846,243)-(793,466)_(845,419)-(956,402)_(1006,356)-(956,233)_(1006,184)];game6/assets/images/mapa8.png;863,207
Nivel 9;[(336,207)_(385,159)-(958,606)_(1006,560)];[(258,312)_(315,263)-(574,608)_(846,560)-(447,297)_(496,237)-(576,156)_(624,132)-(625,513)_(674,460)-(723,208)_(802,158)-(745,291)_(847,243)-(793,467)_(861,418)-(845,232)_(904,183)-(956,232)_(1006,183)-(956,403)_(1006,535)];game6/assets/images/mapa9.png;283,201
Nivel 10;[(447,296)_(495,248)-(845,231)_(894,184)];[(251,226)_(306,178)-(257,313)_(316,264)-(336,207)_(399,158)-(576,156)_(625,131)-(625,512)_(674,453)-(712,520)_(761,420)-(634,207)_(803,159)-(635,292)_(846,243)-(778,609)_(847,560)-(793,467)_(888,419)-(959,232)_(1006,183)-(956,402)_(1006,353)-(958,608)_(1006,559)];game6/assets/images/mapa9.png;311,487
